Job Role,Skills
Network Engineer,"Networking, TCP/IP, Routing, Switching, Python, Linux, Network Automation, Firewalls, VLAN, DNS, DHCP"
Network Security Engineer,"Networking, Python, Linux, Firewalls, IDS/IPS, VPN, Cryptography, Network Monitoring, SIEM, Incident Response"
Digital Forensics Analyst,"Python, Linux, File Systems, Memory Analysis, Disk Forensics, Malware Analysis, Networking, Cryptography, Log Analysis"
Cloud Engineer,"Python, AWS, Azure, GCP, Linux, Docker, Kubernetes, Terraform, CI/CD, Networking, Monitoring"
Cloud Architect,"Cloud Platforms, System Design, Python, Terraform, Networking, Security Architecture, Kubernetes, Docker, CI/CD, Scalability"
DevOps Engineer,"Linux, Python, Bash, Docker, Kubernetes, CI/CD, Terraform, Git, Cloud Platforms, Monitoring"
Site Reliability Engineer,"Python, Go, Linux, Kubernetes, Docker, Monitoring, Automation, Incident Management, CI/CD, System Design"
Platform Engineer,"Python, Go, Linux, Kubernetes, Docker, Cloud Platforms, Infrastructure as Code, APIs, Automation"
Infrastructure Engineer,"Linux, Networking, Cloud Platforms, Python, Bash, Docker, Kubernetes, Terraform, Monitoring"
Android Developer,"Java, Kotlin, Android SDK, XML, REST APIs, SQLite, Firebase, Git, MVVM, Debugging"
iOS Developer,"Swift, Objective-C, iOS SDK, Xcode, REST APIs, Core Data, Git, MVC, Debugging"
Cross-Platform App Developer,"Dart, Flutter, JavaScript, React Native, REST APIs, State Management, Firebase, Git, UI Design"
Game Developer,"C++, C#, Unity, Unreal Engine, Game Physics, Rendering, Mathematics, Animation, Game AI"
AR/VR Developer,"C#, Unity, Unreal Engine, 3D Math, Computer Graphics, OpenXR, Shader Programming"
Metaverse Developer,"Unity, Unreal, C#, C++, 3D Graphics, Blockchain Basics, Web3 Integration, VR SDKs"
Blockchain Developer,"Solidity, JavaScript, Web3.js, Ethereum, Smart Contracts, Cryptography, Testing, Git"
Smart Contract Developer,"Solidity, Ethereum, Web3.js, Hardhat, Cryptography, Smart Contract Security, Testing"
Web3 Developer,"JavaScript, Solidity, Web3.js, React, Ethereum, Wallet Integration, APIs"
DeFi Engineer,"Solidity, Ethereum, Web3.js, Cryptography, Smart Contract Security, Financial Protocols"
Software Test Engineer,"Manual Testing, Java, Python, Selenium, Test Case Design, Bug Tracking, API Testing"
Automation Test Engineer,"Java, Python, Selenium, TestNG, PyTest, API Testing, CI/CD"
Quality Assurance Engineer,"Manual Testing, Automation Basics, Test Case Design, Bug Tracking, SQL"
Performance Tester,"JMeter, LoadRunner, Performance Testing, Python, Java, Monitoring"
Technical Support Engineer,"Linux, Windows, Networking Basics, Python, SQL, Troubleshooting"
UI Designer,"HTML, CSS, Figma, Adobe XD, Responsive Design"
UX Designer,"Wireframing, Prototyping, User Research, Figma, Usability Testing"
UI/UX Engineer,"HTML, CSS, JavaScript, React, Figma, Accessibility"
Product Engineer,"Java, Python, System Design, APIs, Databases, Cloud"
Product Manager,"SQL, Data Analysis, APIs Basics, Agile Tools, Product Analytics"
Technical Product Manager,"SQL, APIs, System Design, Data Analysis, Agile"
Business Analyst,"SQL, Excel, Power BI, Data Analysis, Python"
IT Consultant,"Python, SQL, Cloud Platforms, Networking, System Design"
Systems Analyst,"SQL, System Design, APIs, Documentation, Data Analysis"
Technical Consultant,"Python, SQL, APIs, Cloud Platforms, System Design"
Project Coordinator,"Excel, SQL Basics, Project Management Tools, Reporting, Documentation"
